LicenseNumber,BusinessType,BusinessName,Address,City,State,ZIP Code,County,PhoneNumber,IssueDate,ExpirationDate,Classification(s),Status,SuretyCompany,ContractorBondNumber,BondEffectiveDate,BondCancellationDate,WorkersCompCoverageType,WorkersCompInsuranceCompany,WorkersCompPolicyNumber,EffectiveDate,ExpirationDate1,CancellationDate,WorkersCompSuspendDate
968542,Sole Owner,TEVERBAUGH DRILLING,1648 BALBOA COURT,PLEASANT HILL,CA,94523,Contra Costa,,2011-12-19,2027-12-31,A,CLEAR,,,,,,,,,,,
1055445,Corporation,RAINBOW CONSTRUCTION GROUP,1200 DEWEY AVE,LOS ANGELES,CA,90006,Los Angeles,,2019-07-02,2028-06-30,A | B | C12 | C39,CLEAR,,,,,,,,,,,
22726,Corporation,RANSOME COMPANY,1933 WILLIAMS STREET,SAN LEANDRO,CA,94577,Alameda,,1932-07-01,2027-10-31,A | C10,CLEAR,,,,,,,,,,,
1084532,Corporation,MORGAN R B CONSTRUCTION ENGINEERING,"30553 LARGO VISTA ROAD,BOX 185",LLANO,CA,93544,Los Angeles,,2021-12-03,2027-12-31,A | B,CLEAR,,,,,,,,,,,
960675,Sole Owner,BAY WIDE PLUMBING HEATING AND AIR,14350 BIRCH ST,SAN LEANDRO,CA,94579,Alameda,,2011-05-05,2027-05-31,A | B | C20 | C36,CLEAR,,,,,,,,,,,
591767,Corporation,CARAWAY CONSTRUCTION INC,82360 2ND STREET,TRONA,CA,93562,San Bernardino,,1990-04-05,2028-04-30,A | B | C12 | C13 | C29 | C33 | C34 | C36,CLEAR,,,,,,,,,,,
1066817,Corporation,TECHBLEED,53 GLENFLOW COURT,GLENDALE,CA,91206,Los Angeles,,2020-07-09,2028-07-31,A | C7,CLEAR,,,,,,,,,,,
106793,Corporation,OVERAA C & CO,200 PARR BLVD,RICHMOND,CA,94801,Contra Costa,,1948-10-14,2027-05-31,A | B,CLEAR,,,,,,,,,,,
925494,Corporation,ORNELAS CONSTRUCTION INC,P O BOX 922735,SYLMAR,CA,91342,Los Angeles,,2008-12-02,2026-12-31,A | C21,CLEAR,,,,,,,,,,,
995047,Corporation,O C RAMPS INC,2122 S WRIGHT ST,SANTA ANA,CA,92705,Orange,,2014-07-23,2028-07-31,A | B | C5,CLEAR,,,,,,,,,,,
944689,Corporation,W WOOD & ASSOCIATES DEVELOPMENT INC,P O BOX 3612,SAN BERNARDINO,CA,92413,San Bernardino,,2010-03-23,2028-03-31,A | B | C27,CLEAR,,,,,,,,,,,
139885,Corporation,CONTRA COSTA ELECTRIC INC,825 HOWE ROAD,MARTINEZ,CA,94553,Contra Costa,,1953-07-28,2027-01-31,A | B | C10,CLEAR,,,,,,,,,,,
1118135,Corporation,F & S ENGINEERING,2881 MERIDIAN AVENUE 104,SAN JOSE,CA,95124,Santa Clara,,2024-03-18,2028-03-31,A | B,CLEAR,,,,,,,,,,,
1043324,JointVenture,C J W / M Z T  A JOINT VENTURE,841 EAST WASHINGTON AVE STE B,SANTA ANA,CA,92701,Orange,,2018-08-20,2028-08-31,A | B | HAZ,CLEAR,,,,,,,,,,,
1105109,Sole Owner,CHRISTENSEN S ENGINEERING,P O BOX 968,APPLE VALLEY,CA,92307,San Bernardino,,2023-05-22,2027-05-31,A,CLEAR,,,,,,,,,,,
