municipality,county,comu,recordid,permitno,status,work_type,permitdate,certdate,processdate,raw_cost,parsed_cost,source_fingerprint,reason_flagged,classification,publication_treatment,notes,pk
BURLINGTON TWP,BURLINGTON,0306,20009365,25-0131,C,New,02/18/2025,12/29/2025,01/07/2026,1800446885,1800446885.0,66675fa52e16e198c5595891279e9b1a6214080d4f370b6b2df98fdc08ec4aad,EXCEEDS_500M,UNRESOLVED_EXTREME,EXCLUDE_FROM_PUBLIC_COST_PENDING_REVIEW,Not discarded solely for magnitude. Manual classification required.,030620009365
JERSEY CITY,HUDSON,0906,00060936,20222686+B,P,New,01/12/2023,,02/07/2023,621575900,621575900.0,5775244ec25b112d52a833d42361138873fbc38fee45bf0911225085b2407c13,EXCEEDS_500M,UNRESOLVED_EXTREME,EXCLUDE_FROM_PUBLIC_COST_PENDING_REVIEW,Magnitude exceeds $500M. May be valid large project. Not discarded as a rule; excluded from the approved public cost metric until reviewed.,090600060936
SECAUCUS,HUDSON,0909,20004026,23-458,C,Alteration,07/20/2023,01/30/2024,04/08/2024,1309000000,1309000000.0,1aef71e8c5e9cbfaa9a112437b267adec9268de23cc72db199efaf3406462762,EXCEEDS_500M,UNRESOLVED_EXTREME,EXCLUDE_FROM_PUBLIC_COST_PENDING_REVIEW,Not discarded solely for magnitude. Manual classification required.,090920004026
SOUTH RIVER,MIDDLESEX,1223,23618000,20260157,P,New,05/26/2026,,06/08/2026,2000040324,2000040324.0,d790df11229228a7a427ff8f4d49c5131f4b969ab683e891c3bd73d976a0056f,EXCEEDS_500M,UNRESOLVED_EXTREME,EXCLUDE_FROM_PUBLIC_COST_PENDING_REVIEW,Not discarded solely for magnitude. Manual classification required.,122323618000
MARLBORO,MONMOUTH,1328,00021512,20251597,P,New,07/22/2025,,08/07/2025,1048722100,1048722100.0,de62e2518641c84bb8fd2fbb4b416a53e386dcc8e44c09b35b88d952264b7266,EXCEEDS_500M,UNRESOLVED_EXTREME,EXCLUDE_FROM_PUBLIC_COST_PENDING_REVIEW,Not discarded solely for magnitude. Manual classification required.,132800021512
MARLBORO,MONMOUTH,1328,00022596,20252555,P,New,10/31/2025,,11/07/2025,2100495100,2100495100.0,a328c4960609c200903a00fb287b77f06d507ad57708bcfcc3c242c90e864d79,EXCEEDS_500M,UNRESOLVED_EXTREME,EXCLUDE_FROM_PUBLIC_COST_PENDING_REVIEW,Not discarded solely for magnitude. Manual classification required.,132800022596
PATERSON,PASSAIC,1608,40006912,25-00552,P,Alteration,04/30/2025,,10/07/2025,740000000,740000000.0,518270968c1889da3d47dc235ffd72320ab686763dac2e09b2faeb56f6692a2d,EXCEEDS_500M,UNRESOLVED_EXTREME,EXCLUDE_FROM_PUBLIC_COST_PENDING_REVIEW,Magnitude exceeds $500M. May be valid large project. Not discarded as a rule; excluded from the approved public cost metric until reviewed.,160840006912
